ID,PAID,RID,APID,APID_ST,AP_Sequence,STARTZEIT,ENDZEIT
250,243,64,3,Arbeitsplatz 3,3,30/05/2018 11:10,30/05/2018 11:12
251,244,64,2,Arbeitsplatz 2,2,30/05/2018 11:11,30/05/2018 11:12
252,246,64,1,Arbeitsplatz 1,1,30/05/2018 11:11,30/05/2018 11:12
253,241,64,4,Arbeitsplatz 4,4,30/05/2018 11:12,30/05/2018 11:13
254,242,64,3,Arbeitsplatz 3,5,30/05/2018 11:12,30/05/2018 11:14
255,246,64,2,Arbeitsplatz 2,2,30/05/2018 11:12,30/05/2018 11:14
256,247,64,1,Arbeitsplatz 1,1,30/05/2018 11:12,30/05/2018 11:13
257,243,64,4,Arbeitsplatz 4,4,30/05/2018 11:13,30/05/2018 11:15
258,241,64,5,Arbeitsplatz 5,5,30/05/2018 11:13,30/05/2018 11:15
259,248,64,1,Arbeitsplatz 1,1,30/05/2018 11:14,30/05/2018 11:15
260,245,64,3,Arbeitsplatz 3,4,30/05/2018 11:14,30/05/2018 11:15
261,247,64,2,Arbeitsplatz 2,2,30/05/2018 11:14,30/05/2018 11:15
262,242,64,4,Arbeitsplatz 4,6,30/05/2018 11:15,30/05/2018 11:16
263,249,64,1,Arbeitsplatz 1,1,30/05/2018 11:15,30/05/2018 11:16
264,243,64,5,Arbeitsplatz 5,5,30/05/2018 11:15,30/05/2018 11:16
265,248,64,2,Arbeitsplatz 2,2,30/05/2018 11:15,30/05/2018 11:17
266,244,64,3,Arbeitsplatz 3,3,30/05/2018 11:15,30/05/2018 11:17
267,250,64,1,Arbeitsplatz 1,1,30/05/2018 11:16,30/05/2018 11:17
268,245,64,4,Arbeitsplatz 4,5,30/05/2018 11:16,30/05/2018 11:18
269,242,64,5,Arbeitsplatz 5,7,30/05/2018 11:16,30/05/2018 11:18
270,246,64,3,Arbeitsplatz 3,3,30/05/2018 11:17,30/05/2018 11:18
271,249,64,2,Arbeitsplatz 2,2,30/05/2018 11:17,30/05/2018 11:18
272,245,64,5,Arbeitsplatz 5,6,30/05/2018 11:18,30/05/2018 11:20
273,244,64,4,Arbeitsplatz 4,4,30/05/2018 11:18,30/05/2018 11:19
274,247,64,3,Arbeitsplatz 3,3,30/05/2018 11:18,30/05/2018 11:19
275,250,64,2,Arbeitsplatz 2,2,30/05/2018 11:18,30/05/2018 11:19
276,252,64,1,Arbeitsplatz 1,1,30/05/2018 11:19,30/05/2018 11:20
277,246,64,4,Arbeitsplatz 4,4,30/05/2018 11:19,30/05/2018 11:21
278,248,64,3,Arbeitsplatz 3,3,30/05/2018 11:20,30/05/2018 11:21
279,252,64,2,Arbeitsplatz 2,2,30/05/2018 11:20,30/05/2018 11:21
280,251,64,1,Arbeitsplatz 1,1,30/05/2018 11:20,30/05/2018 11:20
281,244,64,5,Arbeitsplatz 5,5,30/05/2018 11:20,30/05/2018 11:21
282,253,64,1,Arbeitsplatz 1,1,30/05/2018 11:20,30/05/2018 11:21
283,247,64,4,Arbeitsplatz 4,4,30/05/2018 11:21,30/05/2018 11:24
284,251,64,2,Arbeitsplatz 2,2,30/05/2018 11:21,30/05/2018 11:22
285,249,64,3,Arbeitsplatz 3,3,30/05/2018 11:21,30/05/2018 11:22
286,246,64,5,Arbeitsplatz 5,5,30/05/2018 11:21,30/05/2018 11:23
287,254,64,1,Arbeitsplatz 1,1,30/05/2018 11:22,30/05/2018 11:23
288,250,64,3,Arbeitsplatz 3,3,30/05/2018 11:22,30/05/2018 11:24
289,253,64,2,Arbeitsplatz 2,2,30/05/2018 11:22,30/05/2018 11:24
290,255,64,1,Arbeitsplatz 1,1,30/05/2018 11:23,30/05/2018 11:24
291,248,64,4,Arbeitsplatz 4,4,30/05/2018 11:24,30/05/2018 11:25
292,247,64,5,Arbeitsplatz 5,5,30/05/2018 11:24,30/05/2018 11:26
293,254,64,2,Arbeitsplatz 2,2,30/05/2018 11:24,30/05/2018 11:25
